R_Wrist_RotX,R_Wrist_RotY,R_Wrist_RotZ,R_Wrist_RotW,R_IndexMetacarpal_PosX,R_IndexMetacarpal_PosY,R_IndexMetacarpal_PosZ,R_IndexProximal_PosX,R_IndexProximal_PosY,R_IndexProximal_PosZ,R_IndexProximal_RotX,R_IndexProximal_RotY,R_IndexProximal_RotZ,R_IndexProximal_RotW,R_IndexIntermediate_RotX,R_IndexIntermediate_RotY,R_IndexIntermediate_RotZ,R_IndexIntermediate_RotW,R_IndexDistal_RotX,R_IndexDistal_RotY,R_IndexDistal_RotZ,R_IndexDistal_RotW,R_LittleProximal_RotX,R_LittleProximal_RotY,R_LittleProximal_RotZ,R_LittleProximal_RotW,R_LittleIntermediate_RotX,R_LittleIntermediate_RotY,R_LittleIntermediate_RotZ,R_LittleIntermediate_RotW,R_LittleDistal_RotX,R_LittleDistal_RotY,R_LittleDistal_RotZ,R_LittleDistal_RotW,R_MiddleMetacarpal_PosX,R_MiddleMetacarpal_PosY,R_MiddleMetacarpal_PosZ,R_MiddleProximal_PosX,R_MiddleProximal_PosY,R_MiddleProximal_PosZ,R_MiddleProximal_RotX,R_MiddleProximal_RotY,R_MiddleProximal_RotZ,R_MiddleProximal_RotW,R_MiddleIntermediate_RotX,R_MiddleIntermediate_RotY,R_MiddleIntermediate_RotZ,R_MiddleIntermediate_RotW,R_MiddleDistal_RotX,R_MiddleDistal_RotY,R_MiddleDistal_RotZ,R_MiddleDistal_RotW,R_Palm_PosX,R_Palm_PosY,R_Palm_PosZ,R_RingProximal_RotX,R_RingProximal_RotY,R_RingProximal_RotZ,R_RingProximal_RotW,R_RingIntermediate_RotX,R_RingIntermediate_RotY,R_RingIntermediate_RotZ,R_RingIntermediate_RotW,R_RingDistal_RotX,R_RingDistal_RotY,R_RingDistal_RotZ,R_RingDistal_RotW,R_ThumbMetacarpal_PosX,R_ThumbMetacarpal_PosY,R_ThumbMetacarpal_PosZ,R_ThumbMetacarpal_RotX,R_ThumbMetacarpal_RotY,R_ThumbMetacarpal_RotZ,R_ThumbMetacarpal_RotW,R_ThumbProximal_RotX,R_ThumbProximal_RotY,R_ThumbProximal_RotZ,R_ThumbProximal_RotW,Letter
0.000000,0.000000,0.000000,1.000000,-0.018700,-0.011896,0.038409,-0.024167,-0.007508,0.098509,0.456270,0.037934,0.029213,0.888553,0.958383,0.044807,-0.032916,0.280019,0.976815,0.044400,-0.040251,-0.205526,0.121059,0.108859,-0.132777,0.977684,0.745378,0.003505,-0.256234,0.615422,0.955939,-0.181641,-0.229688,0.020775,-0.002067,-0.008919,0.036190,-0.001771,-0.002610,0.098151,0.468837,0.037928,-0.025419,0.882104,0.958983,0.009541,-0.058263,0.277249,0.954577,0.056119,-0.100414,-0.274865,-0.001919,-0.005764,0.067170,0.327283,0.069377,-0.073603,0.939498,0.910558,-0.015938,-0.146888,0.386075,0.967369,-0.077930,-0.149287,-0.189309,-0.027734,-0.020788,0.037415,-0.115710,-0.213774,0.621859,0.744448,0.036093,-0.043996,0.583940,0.809800,A
0.000000,0.000000,0.000000,1.000000,-0.018707,-0.011889,0.038406,-0.024167,-0.007508,0.098509,0.458784,0.038486,0.028955,0.887242,0.959450,0.045031,-0.033551,0.276229,0.975576,0.044142,-0.040930,-0.211256,0.122269,0.109614,-0.132999,0.977418,0.746962,0.003661,-0.256931,0.613205,0.955830,-0.182241,-0.230038,0.016147,-0.002073,-0.008915,0.036187,-0.001771,-0.002610,0.098151,0.474143,0.038077,-0.025772,0.879247,0.960830,0.009428,-0.058614,0.270704,0.952414,0.056142,-0.100142,-0.282361,-0.001922,-0.005763,0.067169,0.338196,0.068688,-0.074372,0.935615,0.915310,-0.016533,-0.146976,0.374611,0.964799,-0.078088,-0.148734,-0.202343,-0.027746,-0.020775,0.037409,-0.115594,-0.214264,0.621683,0.744473,0.036254,-0.044504,0.583879,0.809809,A
0.000000,0.000000,0.000000,1.000000,-0.018703,-0.011893,0.038408,-0.024167,-0.007508,0.098509,0.458478,0.039046,0.028705,0.887384,0.959505,0.045201,-0.034156,0.275938,0.975261,0.043934,-0.041591,-0.212617,0.133403,0.108256,-0.134788,0.975867,0.754542,0.002268,-0.257138,0.603773,0.955890,-0.183225,-0.229546,0.003464,-0.002070,-0.008917,0.036189,-0.001771,-0.002610,0.098151,0.474681,0.038852,-0.026177,0.878910,0.960635,0.009752,-0.059439,0.271205,0.952449,0.055952,-0.101052,-0.281958,-0.001920,-0.005763,0.067170,0.338838,0.069077,-0.074547,0.935340,0.915215,-0.016268,-0.147391,0.374690,0.964741,-0.078105,-0.149224,-0.202255,-0.027740,-0.020782,0.037412,-0.115287,-0.214461,0.621881,0.744298,0.036219,-0.044852,0.584107,0.809627,A
0.000000,0.000000,0.000000,1.000000,-0.018705,-0.011891,0.038407,-0.024167,-0.007508,0.098509,0.459050,0.039717,0.028399,0.887068,0.959602,0.045462,-0.034848,0.275468,0.975121,0.043827,-0.042317,-0.213138,0.134070,0.108382,-0.134904,0.975746,0.754408,0.002532,-0.257269,0.603883,0.955848,-0.183081,-0.229829,0.003760,-0.002072,-0.008916,0.036188,-0.001771,-0.002610,0.098150,0.475489,0.039439,-0.026507,0.878437,0.960637,0.009982,-0.060079,0.271047,0.952491,0.055817,-0.101685,-0.281612,-0.001921,-0.005763,0.067169,0.339565,0.069349,-0.074696,0.935044,0.915312,-0.016105,-0.147699,0.374338,0.964596,-0.078136,-0.149554,-0.202690,-0.027744,-0.020778,0.037410,-0.115111,-0.214777,0.621872,0.744242,0.036742,-0.044906,0.584222,0.809517,A
0.000000,0.000000,0.000000,1.000000,-0.018708,-0.011888,0.038406,-0.024167,-0.007508,0.098509,0.459242,0.041434,0.027623,0.886914,0.959540,0.046086,-0.036623,0.275352,0.974982,0.043520,-0.044184,-0.213458,0.135866,0.108304,-0.135198,0.975465,0.754956,0.002643,-0.257368,0.603156,0.955821,-0.183030,-0.229998,0.002851,-0.002074,-0.008915,0.036187,-0.001771,-0.002610,0.098151,0.478540,0.040128,-0.027015,0.876732,0.961378,0.010177,-0.060915,0.268214,0.951698,0.055676,-0.102249,-0.284105,-0.001923,-0.005762,0.067169,0.347037,0.069179,-0.075325,0.932259,0.918201,-0.016295,-0.148052,0.367046,0.962895,-0.078223,-0.149581,-0.210572,-0.027749,-0.020773,0.037408,-0.115021,-0.215029,0.621812,0.744233,0.037046,-0.045016,0.584248,0.809479,A
0.000000,0.000000,0.000000,1.000000,-0.018731,-0.011864,0.038395,-0.024167,-0.007508,0.098509,0.458933,0.043824,0.026548,0.886993,0.959295,0.046939,-0.039091,0.275721,0.974869,0.043072,-0.046793,-0.213508,0.138159,0.108315,-0.135580,0.975089,0.754584,0.003253,-0.257521,0.603553,0.955773,-0.182668,-0.230476,0.003391,-0.002097,-0.008903,0.036176,-0.001771,-0.002610,0.098150,0.481822,0.040972,-0.027620,0.874875,0.962241,0.010400,-0.061932,0.264854,0.950644,0.055482,-0.102946,-0.287401,-0.001934,-0.005756,0.067163,0.353456,0.069194,-0.075923,0.929794,0.920658,-0.016403,-0.148510,0.360645,0.961316,-0.078339,-0.149753,-0.217506,-0.027795,-0.020725,0.037386,-0.115734,-0.215441,0.620824,0.744828,0.036653,-0.045599,0.583305,0.810144,A
0.000000,0.000000,0.000000,1.000000,-0.018827,-0.011764,0.038350,-0.024167,-0.007508,0.098509,0.458590,0.044852,0.026089,0.887132,0.959066,0.047311,-0.040141,0.276301,0.974857,0.042876,-0.047927,-0.213350,0.138486,0.108799,-0.135658,0.974978,0.751279,0.004847,-0.257717,0.607568,0.955683,-0.181680,-0.231491,0.008680,-0.002193,-0.008853,0.036131,-0.001771,-0.002610,0.098151,0.482630,0.041913,-0.028135,0.874369,0.962343,0.010720,-0.062960,0.264232,0.950359,0.055235,-0.103929,-0.288038,-0.001982,-0.005731,0.067141,0.354071,0.069661,-0.076130,0.929508,0.920755,-0.016182,-0.148999,0.360205,0.961093,-0.078428,-0.150253,-0.218115,-0.027986,-0.020524,0.037296,-0.119012,-0.216735,0.616625,0.747420,0.034631,-0.047711,0.579169,0.813073,A
0.000000,0.000000,0.000000,1.000000,-0.018843,-0.011747,0.038342,-0.024167,-0.007508,0.098509,0.459350,0.045667,0.025710,0.886708,0.959064,0.047647,-0.040962,0.276131,0.974810,0.042789,-0.048800,-0.213387,0.138691,0.109216,-0.135712,0.974894,0.749720,0.005729,-0.257943,0.609387,0.955590,-0.181211,-0.232138,0.011032,-0.002209,-0.008844,0.036123,-0.001771,-0.002610,0.098151,0.485371,0.042518,-0.028603,0.872806,0.962997,0.010880,-0.063709,0.261649,0.949536,0.055093,-0.104431,-0.290588,-0.001990,-0.005727,0.067137,0.354502,0.070045,-0.076294,0.929302,0.920692,-0.015959,-0.149398,0.360211,0.960994,-0.078478,-0.150692,-0.218229,-0.028019,-0.020490,0.037280,-0.119382,-0.217187,0.615965,0.747773,0.034731,-0.048085,0.578620,0.813438,A
0.000000,0.000000,0.000000,1.000000,-0.018862,-0.011727,0.038333,-0.024167,-0.007508,0.098509,0.460223,0.046890,0.025144,0.886208,0.959072,0.048132,-0.042208,0.275830,0.974886,0.042687,-0.050076,-0.212761,0.137470,0.109523,-0.135523,0.975059,0.748210,0.006232,-0.257993,0.611215,0.955544,-0.180902,-0.232439,0.013481,-0.002228,-0.008834,0.036114,-0.001771,-0.002610,0.098150,0.485934,0.043261,-0.029009,0.872442,0.962847,0.011181,-0.064510,0.261993,0.949579,0.054907,-0.105291,-0.290170,-0.001999,-0.005722,0.067132,0.353623,0.070453,-0.076342,0.929602,0.919825,-0.015593,-0.149734,0.362296,0.961410,-0.078445,-0.151212,-0.216037,-0.028056,-0.020450,0.037262,-0.119932,-0.217568,0.615159,0.748238,0.035021,-0.048191,0.577938,0.813903,A
0.000000,0.000000,0.000000,1.000000,-0.018866,-0.011722,0.038331,-0.024167,-0.007508,0.098509,0.465556,0.047701,0.024684,0.883387,0.960376,0.048556,-0.043075,0.271045,0.973981,0.042668,-0.050895,-0.216680,0.137888,0.109309,-0.135582,0.975016,0.747927,0.006283,-0.257854,0.611619,0.955574,-0.180744,-0.232395,0.014211,-0.002232,-0.008832,0.036112,-0.001771,-0.002610,0.098151,0.492536,0.043676,-0.029636,0.868690,0.964542,0.011180,-0.065221,0.255502,0.947776,0.054837,-0.105339,-0.296002,-0.002001,-0.005721,0.067131,0.354169,0.070406,-0.076378,0.929394,0.918796,-0.015182,-0.149753,0.364909,0.962056,-0.078193,-0.151534,-0.213006,-0.028064,-0.020442,0.037258,-0.119503,-0.218319,0.615160,0.748087,0.035205,-0.049078,0.578105,0.813724,A
0.000000,0.000000,0.000000,1.000000,-0.018875,-0.011713,0.038326,-0.024167,-0.007508,0.098509,0.465742,0.049045,0.024061,0.883233,0.959932,0.049107,-0.044402,0.272302,0.974542,0.042656,-0.052276,-0.213814,0.138469,0.109018,-0.135665,0.974955,0.742413,0.008224,-0.257376,0.618477,0.955525,-0.179026,-0.233139,0.023835,-0.002241,-0.008827,0.036107,-0.001771,-0.002610,0.098151,0.492935,0.044601,-0.030135,0.868400,0.963737,0.011693,-0.066188,0.258250,0.948780,0.054644,-0.106624,-0.292340,-0.002006,-0.005718,0.067129,0.354142,0.070527,-0.076415,0.929392,0.916943,-0.014484,-0.149899,0.369509,0.963122,-0.077847,-0.152164,-0.207803,-0.028082,-0.020422,0.037249,-0.119421,-0.218935,0.614878,0.748152,0.035328,-0.049753,0.577960,0.813781,A
0.000000,0.000000,0.000000,1.000000,-0.018900,-0.011685,0.038314,-0.024167,-0.007508,0.098509,0.466335,0.050190,0.023520,0.882870,0.959599,0.049600,-0.045524,0.273198,0.975082,0.042711,-0.053428,-0.211037,0.138605,0.108849,-0.135680,0.974952,0.736982,0.010097,-0.256941,0.625089,0.955215,-0.176679,-0.234519,0.036755,-0.002266,-0.008813,0.036095,-0.001771,-0.002610,0.098150,0.493269,0.045207,-0.030467,0.868167,0.963219,0.012032,-0.066825,0.260001,0.949525,0.054528,-0.107457,-0.289627,-0.002019,-0.005711,0.067123,0.354130,0.070521,-0.076412,0.929398,0.915877,-0.014116,-0.149910,0.372152,0.963805,-0.077607,-0.152480,-0.204467,-0.028134,-0.020367,0.037224,-0.119917,-0.219784,0.613852,0.748666,0.034958,-0.050904,0.577067,0.814359,A
0.000000,0.000000,0.000000,1.000000,-0.018938,-0.011644,0.038295,-0.024167,-0.007508,0.098509,0.467706,0.050815,0.023201,0.882117,0.959376,0.049947,-0.046089,0.273823,0.975434,0.042849,-0.054046,-0.209215,0.138275,0.108726,-0.135619,0.975021,0.733612,0.011151,-0.256626,0.629152,0.954807,-0.174768,-0.235719,0.047286,-0.002304,-0.008793,0.036076,-0.001771,-0.002610,0.098151,0.493579,0.045573,-0.030675,0.867964,0.963065,0.012201,-0.067218,0.260458,0.949920,0.054458,-0.107889,-0.288179,-0.002038,-0.005701,0.067113,0.354154,0.070509,-0.076410,0.929390,0.915457,-0.013972,-0.149907,0.373190,0.964192,-0.077461,-0.152654,-0.202557,-0.028209,-0.020285,0.037187,-0.120814,-0.220845,0.612277,0.749499,0.034215,-0.052467,0.575629,0.815308,A
0.000000,0.000000,0.000000,1.000000,-0.018944,-0.011637,0.038292,-0.024167,-0.007508,0.098509,0.468110,0.051419,0.022912,0.881875,0.958323,0.050370,-0.046519,0.277338,0.976448,0.043166,-0.054630,-0.204209,0.137945,0.108433,-0.135550,0.975110,0.732376,0.011329,-0.256325,0.630710,0.954624,-0.173922,-0.236055,0.052181,-0.002310,-0.008789,0.036073,-0.001771,-0.002610,0.098151,0.493852,0.045968,-0.030896,0.867780,0.962705,0.012432,-0.067633,0.261670,0.950524,0.054394,-0.108432,-0.285987,-0.002041,-0.005700,0.067112,0.354171,0.070629,-0.076450,0.929371,0.914788,-0.013690,-0.150031,0.374788,0.964697,-0.077283,-0.153032,-0.199921,-0.028221,-0.020272,0.037181,-0.120572,-0.221491,0.612149,0.749452,0.034244,-0.053285,0.575628,0.815255,A
