R_Wrist_RotX,R_Wrist_RotY,R_Wrist_RotZ,R_Wrist_RotW,R_IndexMetacarpal_PosX,R_IndexMetacarpal_PosY,R_IndexMetacarpal_PosZ,R_IndexProximal_PosX,R_IndexProximal_PosY,R_IndexProximal_PosZ,R_IndexProximal_RotX,R_IndexProximal_RotY,R_IndexProximal_RotZ,R_IndexProximal_RotW,R_IndexIntermediate_RotX,R_IndexIntermediate_RotY,R_IndexIntermediate_RotZ,R_IndexIntermediate_RotW,R_IndexDistal_RotX,R_IndexDistal_RotY,R_IndexDistal_RotZ,R_IndexDistal_RotW,R_LittleProximal_RotX,R_LittleProximal_RotY,R_LittleProximal_RotZ,R_LittleProximal_RotW,R_LittleIntermediate_RotX,R_LittleIntermediate_RotY,R_LittleIntermediate_RotZ,R_LittleIntermediate_RotW,R_LittleDistal_RotX,R_LittleDistal_RotY,R_LittleDistal_RotZ,R_LittleDistal_RotW,R_MiddleMetacarpal_PosX,R_MiddleMetacarpal_PosY,R_MiddleMetacarpal_PosZ,R_MiddleProximal_PosX,R_MiddleProximal_PosY,R_MiddleProximal_PosZ,R_MiddleProximal_RotX,R_MiddleProximal_RotY,R_MiddleProximal_RotZ,R_MiddleProximal_RotW,R_MiddleIntermediate_RotX,R_MiddleIntermediate_RotY,R_MiddleIntermediate_RotZ,R_MiddleIntermediate_RotW,R_MiddleDistal_RotX,R_MiddleDistal_RotY,R_MiddleDistal_RotZ,R_MiddleDistal_RotW,R_Palm_PosX,R_Palm_PosY,R_Palm_PosZ,R_RingProximal_RotX,R_RingProximal_RotY,R_RingProximal_RotZ,R_RingProximal_RotW,R_RingIntermediate_RotX,R_RingIntermediate_RotY,R_RingIntermediate_RotZ,R_RingIntermediate_RotW,R_RingDistal_RotX,R_RingDistal_RotY,R_RingDistal_RotZ,R_RingDistal_RotW,R_ThumbMetacarpal_PosX,R_ThumbMetacarpal_PosY,R_ThumbMetacarpal_PosZ,R_ThumbMetacarpal_RotX,R_ThumbMetacarpal_RotY,R_ThumbMetacarpal_RotZ,R_ThumbMetacarpal_RotW,R_ThumbProximal_RotX,R_ThumbProximal_RotY,R_ThumbProximal_RotZ,R_ThumbProximal_RotW,Letter
-0.237049,-0.277363,-0.913084,0.182086,-0.017890,-0.012688,0.038799,-0.006307,0.005171,0.059831,0.447932,0.040176,0.028269,0.892717,0.788600,-0.015955,-0.019967,0.614376,0.544723,0.012868,-0.016465,0.838356,0.433248,0.023043,0.070414,0.898225,0.753971,-0.001649,-0.091490,0.650504,0.588956,-0.039307,0.002619,0.807205,-0.001236,-0.009318,0.036577,-0.000537,0.006706,0.061693,0.520938,0.039110,-0.028982,0.852206,0.755162,-0.005634,-0.012230,0.655400,0.560764,-0.024032,-0.090979,0.822611,-0.001505,-0.005966,0.067424,0.499707,0.051564,-0.082830,0.860682,0.787180,-0.024544,-0.040517,0.614902,0.574252,-0.026645,-0.030746,0.817667,-0.026101,-0.022370,0.038146,-0.084745,-0.207532,0.656266,0.720461,0.187416,0.053348,-0.082136,0.977386,A
-0.236895,-0.273935,-0.914377,0.180984,-0.017888,-0.012690,0.038800,-0.006309,0.005173,0.059830,0.447342,0.039908,0.028389,0.893021,0.788679,-0.015958,-0.019964,0.614274,0.545114,0.012855,-0.016463,0.838102,0.432734,0.022501,0.070679,0.898465,0.753618,-0.001618,-0.091475,0.650915,0.589309,-0.039294,0.002620,0.806947,-0.001234,-0.009319,0.036578,-0.000539,0.006706,0.061692,0.520332,0.038880,-0.028818,0.852592,0.755662,-0.005642,-0.012227,0.654823,0.561238,-0.024053,-0.091011,0.822284,-0.001504,-0.005966,0.067424,0.498766,0.051383,-0.082640,0.861257,0.787263,-0.024547,-0.040515,0.614795,0.574519,-0.026641,-0.030758,0.817479,-0.026098,-0.022373,0.038148,-0.084578,-0.207629,0.656361,0.720366,0.187566,0.053334,-0.082134,0.977358,A
-0.236604,-0.271996,-0.915176,0.180249,-0.017882,-0.012695,0.038802,-0.006314,0.005178,0.059828,0.447157,0.039708,0.028477,0.893120,0.788717,-0.015959,-0.019963,0.614225,0.545360,0.012847,-0.016461,0.837942,0.432907,0.021841,0.070979,0.898374,0.753366,-0.001596,-0.091464,0.651208,0.589554,-0.039285,0.002621,0.806769,-0.001228,-0.009322,0.036580,-0.000545,0.006709,0.061690,0.519772,0.038655,-0.028659,0.852949,0.756087,-0.005649,-0.012224,0.654333,0.561632,-0.024070,-0.091038,0.822011,-0.001501,-0.005967,0.067425,0.498184,0.051180,-0.082477,0.861621,0.787325,-0.024549,-0.040514,0.614716,0.574627,-0.026639,-0.030763,0.817403,-0.026086,-0.022383,0.038152,-0.084348,-0.207606,0.656590,0.720191,0.187832,0.053308,-0.082131,0.977309,A
-0.236368,-0.272256,-0.915110,0.180502,-0.017871,-0.012704,0.038806,-0.006326,0.005187,0.059824,0.447354,0.039555,0.028543,0.893026,0.788659,-0.015957,-0.019965,0.614300,0.545433,0.012844,-0.016461,0.837894,0.433671,0.021379,0.071174,0.898002,0.753304,-0.001590,-0.091462,0.651280,0.589656,-0.039281,0.002621,0.806695,-0.001217,-0.009326,0.036584,-0.000556,0.006714,0.061686,0.519286,0.038580,-0.028589,0.853251,0.756374,-0.005654,-0.012222,0.654001,0.561855,-0.024080,-0.091053,0.821857,-0.001495,-0.005970,0.067427,0.498003,0.050942,-0.082336,0.861754,0.787437,-0.024553,-0.040512,0.614572,0.574518,-0.026641,-0.030758,0.817480,-0.026063,-0.022402,0.038160,-0.083956,-0.207514,0.657014,0.719876,0.188003,0.053291,-0.082128,0.977277,A
-0.236591,-0.273025,-0.914574,0.181761,-0.017859,-0.012715,0.038810,-0.006338,0.005198,0.059819,0.447644,0.039443,0.028590,0.892884,0.788571,-0.015954,-0.019967,0.614412,0.545353,0.012847,-0.016461,0.837946,0.438772,0.021612,0.070942,0.895533,0.753258,-0.001586,-0.091460,0.651333,0.589532,-0.039286,0.002621,0.806785,-0.001205,-0.009332,0.036589,-0.000569,0.006719,0.061682,0.518594,0.038565,-0.028539,0.853674,0.756619,-0.005658,-0.012221,0.653718,0.561884,-0.024081,-0.091055,0.821837,-0.001489,-0.005972,0.067430,0.497819,0.050796,-0.082243,0.861877,0.787597,-0.024559,-0.040509,0.614367,0.574234,-0.026646,-0.030746,0.817680,-0.026039,-0.022423,0.038169,-0.083487,-0.207451,0.657491,0.719513,0.188244,0.053268,-0.082125,0.977232,A
-0.237501,-0.275708,-0.912820,0.185306,-0.017848,-0.012724,0.038814,-0.006349,0.005207,0.059815,0.448227,0.039467,0.028576,0.892591,0.788535,-0.015953,-0.019968,0.614459,0.545077,0.012856,-0.016463,0.838126,0.447659,0.022263,0.070423,0.891149,0.753236,-0.001584,-0.091459,0.651360,0.589098,-0.039302,0.002620,0.807101,-0.001194,-0.009336,0.036593,-0.000580,0.006723,0.061678,0.517776,0.038486,-0.028447,0.854177,0.756796,-0.005660,-0.012220,0.653513,0.561685,-0.024072,-0.091041,0.821975,-0.001483,-0.005975,0.067431,0.497785,0.050823,-0.082253,0.861894,0.787748,-0.024565,-0.040507,0.614173,0.573753,-0.026653,-0.030725,0.818018,-0.026017,-0.022441,0.038177,-0.083124,-0.207340,0.657899,0.719215,0.188825,0.053212,-0.082117,0.977124,A
-0.240050,-0.272178,-0.911680,0.192702,-0.017835,-0.012734,0.038819,-0.006361,0.005217,0.059811,0.447694,0.039711,0.028473,0.892851,0.788555,-0.015954,-0.019968,0.614434,0.545274,0.012850,-0.016462,0.837998,0.447594,0.022361,0.070378,0.891183,0.753345,-0.001594,-0.091463,0.651233,0.588777,-0.039314,0.002619,0.807335,-0.001181,-0.009341,0.036597,-0.000592,0.006729,0.061673,0.517120,0.038737,-0.028545,0.854560,0.757083,-0.005665,-0.012218,0.653180,0.561552,-0.024066,-0.091032,0.822066,-0.001477,-0.005977,0.067434,0.497426,0.050986,-0.082300,0.862088,0.788206,-0.024582,-0.040499,0.613585,0.573382,-0.026659,-0.030708,0.818278,-0.025992,-0.022462,0.038186,-0.082805,-0.207107,0.658342,0.718913,0.189210,0.053175,-0.082111,0.977052,A
-0.243708,-0.279600,-0.905425,0.206485,-0.017837,-0.012733,0.038818,-0.006360,0.005216,0.059811,0.448526,0.039354,0.028624,0.892444,0.789030,-0.015970,-0.019954,0.613823,0.545179,0.012853,-0.016462,0.838060,0.443312,0.022519,0.070404,0.893314,0.753746,-0.001629,-0.091480,0.650766,0.588495,-0.039324,0.002618,0.807540,-0.001183,-0.009341,0.036597,-0.000591,0.006728,0.061674,0.517317,0.038728,-0.028552,0.854441,0.757633,-0.005674,-0.012214,0.652542,0.561197,-0.024051,-0.091008,0.822312,-0.001478,-0.005977,0.067433,0.497232,0.051235,-0.082407,0.862174,0.788888,-0.024608,-0.040486,0.612708,0.572937,-0.026666,-0.030689,0.818590,-0.025995,-0.022460,0.038185,-0.082934,-0.207030,0.658272,0.718985,0.190279,0.053071,-0.082096,0.976851,A
-0.257897,-0.286755,-0.893514,0.229988,-0.017836,-0.012734,0.038818,-0.006360,0.005216,0.059811,0.449980,0.039133,0.028712,0.891719,0.791047,-0.016041,-0.019898,0.611221,0.545023,0.012858,-0.016463,0.838161,0.440013,0.022921,0.070295,0.894942,0.754285,-0.001677,-0.091503,0.650138,0.588212,-0.039334,0.002617,0.807745,-0.001182,-0.009341,0.036597,-0.000591,0.006728,0.061674,0.517585,0.038635,-0.028517,0.854283,0.758688,-0.005691,-0.012207,0.651316,0.560901,-0.024038,-0.090988,0.822517,-0.001478,-0.005977,0.067434,0.497315,0.051370,-0.082485,0.862111,0.790411,-0.024664,-0.040459,0.610741,0.572526,-0.026673,-0.030671,0.818879,-0.025994,-0.022460,0.038185,-0.073147,-0.217852,0.660424,0.714864,0.195032,0.052609,-0.082029,0.975944,A
-0.274562,-0.298820,-0.877567,0.255340,-0.017825,-0.012743,0.038822,-0.006371,0.005226,0.059807,0.451597,0.039209,0.028670,0.890899,0.793391,-0.016124,-0.019831,0.608176,0.544907,0.012862,-0.016464,0.838236,0.430700,0.023897,0.070090,0.899452,0.754878,-0.001729,-0.091529,0.649445,0.588159,-0.039336,0.002617,0.807784,-0.001171,-0.009346,0.036601,-0.000602,0.006733,0.061670,0.517331,0.038621,-0.028495,0.854439,0.760138,-0.005715,-0.012197,0.649622,0.561014,-0.024043,-0.090996,0.822438,-0.001472,-0.005979,0.067435,0.497057,0.051585,-0.082568,0.862239,0.792022,-0.024725,-0.040430,0.608651,0.572451,-0.026674,-0.030668,0.818931,-0.025972,-0.022479,0.038193,-0.046557,-0.246415,0.665757,0.702766,0.200615,0.052064,-0.081948,0.974848,A
